,N of colex,Recall,Model
386,100,0.07262569832402235,Family+Subfamily
387,100,0.06607929515418502,Family+Subfamily
388,100,0.08160442600276625,Family+Subfamily
389,100,0.07625899280575539,Family+Subfamily
390,100,0.03163686382393398,Family+Subfamily
391,100,0.06695156695156695,Family+Subfamily
392,100,0.07692307692307693,Family+Subfamily
393,100,0.033527696793002916,Family+Subfamily
394,100,0.06896551724137931,Family+Subfamily
395,100,0.0,Family+Subfamily
396,100,0.03194444444444444,Family+Subfamily
397,100,0.07020057306590258,Family+Subfamily
398,100,0.03429355281207133,Family+Subfamily
399,100,0.06552706552706553,Family+Subfamily
400,100,0.16548797736916548,Family+Prob
401,100,0.14202049780380674,Family+Prob
402,100,0.23044096728307253,Family+Prob
403,100,0.20670391061452514,Family+Prob
404,100,0.1875,Family+Prob
405,100,0.19915848527349228,Family+Prob
406,100,0.21745350500715308,Family+Prob
407,100,0.19476744186046513,Family+Prob
408,100,0.21428571428571427,Family+Prob
409,100,0.17202797202797201,Family+Prob
410,100,0.16275862068965516,Family+Prob
411,100,0.19686162624821682,Family+Prob
412,100,0.1820689655172414,Family+Prob
413,100,0.18975069252077562,Family+Prob
414,100,0.23323170731707318,Family+Prob
415,100,0.2125874125874126,Family+Prob
416,100,0.20857142857142857,Family+Prob
417,100,0.164804469273743,Family+Prob
418,100,0.1906779661016949,Family+Prob
419,100,0.2028985507246377,Family+Prob
420,100,0.19305555555555556,Family+Prob
421,100,0.17304964539007092,Family+Prob
422,100,0.17142857142857143,Family+Prob
423,100,0.20903954802259886,Family+Prob
424,100,0.20545977011494254,Family+Prob
425,100,0.18934081346423562,Family+Prob
426,100,0.1861777150916784,Family+Prob
427,100,0.17534246575342466,Family+Prob
428,100,0.2113095238095238,Family+Prob
429,100,0.17872340425531916,Family+Prob
430,100,0.22687861271676302,Family+Prob
431,100,0.17410071942446043,Family+Prob
432,100,0.18956043956043955,Family+Prob
433,100,0.1824712643678161,Family+Prob
434,100,0.1935933147632312,Family+Prob
435,100,0.15782122905027932,Family+Prob
436,100,0.20851688693098386,Family+Prob
437,100,0.16502115655853314,Family+Prob
438,100,0.17837078651685392,Family+Prob
439,100,0.21378340365682139,Family+Prob
440,100,0.1622002820874471,Family+Prob
441,100,0.20916905444126074,Family+Prob
442,100,0.21448087431693988,Family+Prob
443,100,0.1524966261808367,Family+Prob
444,100,0.2172573189522342,Family+Prob
445,100,0.18245125348189414,Family+Prob
446,100,0.18051575931232092,Family+Prob
447,100,0.20906432748538012,Family+Prob
448,100,0.16874135546334718,Family+Prob
449,100,0.21671388101983002,Family+Prob
450,100,0.18732394366197183,Subfamily+Prob
